certifier_name,title,facility_count,state_count,states,sample_facilities,classification
"EPHRAIM ZAGELBAUM","CEO",6,1,"NY","MARNC OPERATING LLC; ABSOLUT CTR AT DUNKIRK LLC; ABSOLUT CTR AT HOUGHTON LLC; ORCHARD MANOR REHABILITATION; ABSOLUT CTR AT SALAMANCA LLC","Regional Chain or Consultant"
"JOHN RENNER","CFO",6,1,"OH","CHAPEL HILL COMMUNITY; FOUR WINDS NURSING FACILITY; TRINITY COMMUNITY AT BEAVERCREEK; PARKVUE HEALTHCARE CENTER; HARMAR PLACE REHAB","Regional Chain or Consultant"
"KEVIN MCDONNELL","CFO",6,1,"OH","WESLEY GLEN HEALTH SERVICES CORP; TWIN TOWERS; TWIN LAKES; ROBERT A BARNES CENTER; WESLEY WOODS AT NEW ALBANY","Regional Chain or Consultant"
"JENQ CHEN","CHAIRMAN",6,1,"CA","GREENFIELD CARE CENTER OF FAIRFIELD; GREENFIELD CARE CENTER OF FULLERTON; KIT CARSON NURSING & REHAB CENTER; MEDICAL CENTER CONVALESCENT HOSPITAL; GREENFIELD CARE CENTER OF SOUTH GATE","Regional Chain or Consultant"
"KEIRA THOMAS","CONTROLLER?RECEIVERSHIP GROUP",6,1,"IA","ASPIRE OF PLEASANT VALLEY; ASPIRE OF PERRY; ASPIRE OF WASHINGTON; ASPIRE OF MUSCATINE; ASPIRE OF ESTHERVILLE","Regional Chain or Consultant"
"MICHAEL FLANAGAN","CFO",6,1,"MA","BEAR MOUNTAIN AT WORCESTER; BEAR MOUNTAIN AT WEST SPRINGFIELD; CHESTNUT HILL OF EAST LONGMEADOW; SIXTEEN ACRES HEALTH CARE CENTER; BEAR MOUNTAIN AT SUDBURY","Regional Chain or Consultant"
"DOUG HARRISON","CFO",6,1,"MN","ECUMEN LAKESHORE; ST. BENEDICT SENIOR LIVING COMMUNITY; ECUMEN - VILLAGES OF NORTH BRANCH; PATHSTONE LIVING; EMMANUEL NURSING HOME","Regional Chain or Consultant"
"CHRISTY AUTRY","CFO",6,2,"NC;SC","UNIVERSAL HEALTHCARE/BRUNSWICK; BRIAN CENTER OF ST ANDREWS; SATURN NURSING & REHABILITATION; UNIVERSAL HEALTHCARE-FLETCHER; BLUMENTHAL JEWISH NURSING & REHAB","Regional Chain or Consultant"
"WILLIAM DAVIS","CFO",6,1,"GA","REHAB CENTER OF SOUTH GA; ROCKMART HEALTH LLC; SUMMERHILL LLC; GRACEMORE NURSING HOME LLC; SEARS MANOR NURSING HOME LLC","Regional Chain or Consultant"
"MATTHEW J. HALL","CFO",6,1,"AL","MONROE MANOR NURSING HOME; ROANOKE HEALTH CARE CENTER; MAGNOLIA HAVEN NURSING HOME; EASTVIEW REHAB & HEALTHCARE CTR; LIGHTHOUSE CONVALESCENT HOME","Regional Chain or Consultant"
"ROBERT ROSENBERGER","CFO",6,3,"IL;IN;OH","ADDOLORATA VILLA; FRANCISCAN VILLAGE; THE VILLAGE AT VICTORY LAKES; ST. JOSEPH VILLAGE OF CHICAGO; UNIVERSITY PLACE HEALTH CENTER","Regional Chain or Consultant"
"LARS JOHNSON","CFO",6,5,"CO;IA;MN;NE;WI","THORNE CREST; TUDOR OAKS; MOUNTAIN VISTA HEALTH CENTER; HEALTH CENTER AT FRANKLIN PARK; ELM CREST RETIREMENT COMMUNITY","Regional Chain or Consultant"
"BENJAMIN FRIEDMAN","CFO",5,1,"MA","ANDOVER MANOR REHAB AND NURSING LLC; ANDOVER FOREST POST ACUTE CARE; AGAWAM EAST REHAB AND NURSING LLC; AGAWAM WEST REHAB AND NURSING LLC; AYER VALLEY REHAB AND NURSING LLC","Regional Chain or Consultant"
"TIM MOODY","DIRECTOR OF REIMBURSEMENT",5,3,"FL;GA;MD","PRUITTHEALTH - LAUREL PARK  LLC; PRUITTHEALTH - EVANS  LLC; CHARLOTTE HALL VETERANS HOME; PRUITTHEALTH - RICHMOND  LLC; PRUITTHEALTH - NORTH TAMPA  LLC","Regional Chain or Consultant"
"MICHAEL FEIST","CEO/OWNER",5,1,"GA","CUMMING OPERATING COMPANY LLC; TUCKER OPERATING COMPANY  LLC; PARK PLACE NURSING FACILITY; ROSS MEMORIAL HEALTHCARE; CUMMING OPERATING COMPANY LLC","Regional Chain or Consultant"
"TROY LANGSDALE","CEO",5,1,"TX","SYLVAN SHORES HEALTH AND WELLNESS; LAKESIDE HEALTH AND WELLNESS; THE LODGE OF SAGINAW; CYPRESS POINTE HEALTH & WELLNESS; THE SPRINGS HEALTHCARE AND REHABILIT","Regional Chain or Consultant"
"KRISTINE HANSCOM","CFO",5,2,"CT;MA","LUTHERAN HOME OF SOUTHBURY; LUTHERAN REHAB & SKILLED CARE CENTER; LUTHERAN HOME OF JAMAICA PLAIN INC; EMMANUEL DEVELOPMENT CORP; FAIR HAVENS INC","Regional Chain or Consultant"
"MARK LIETZKE","CFO CONSULTANT",5,1,"OK","CONHOLD OF CATOOSA  LLC; CONHOLD OF SAND SPRINGS  LLC; CONHOLD OF OWASSO  LLC; CONHOLD OF MANNFORD LLC; CONHOLD OF PONCA  LLC","Regional Chain or Consultant"
"DAVID WERTHEIMER","CEO",5,1,"CA","ALVARADO CARE CENTER; ROSEMEAD HEALTHCARE CENTER; STUDEBAKER HEALTHCARE CENTER LLC; MISSION PARK HEALTH CENTER; TAMPICO TERRACE CARE CENTER","Regional Chain or Consultant"
"YONI KLEIN","CHIEF OPERATING OFFICER",5,1,"MI","AVISTA NURSING AND REHAB; BRIARWOOD NURSING AND REHAB; ADIRA NURSING AND REHAB; HAMPTON OPCO  LLC; CARRIAGE HOUSE NURSING AND REHAB","Regional Chain or Consultant"
"DOVID SEITLER","CEO",5,1,"IL","ARCADIA CARE BLOOMINGTON LLC; ARCADIA CARE DANVILLE; ARCADIA CARE MORTON LLC; ARCADIA CARE CLIFTON; ARCADIA CARE JACKSONVILLE","Regional Chain or Consultant"
"BONNIE QUIBODEAUX","CFO",5,1,"LA","ENCORE HEALTHCARE & REHABILITATION; BROADWAY NURSING & REHAB CENTER; PELICAN POINTE HEALTHCARE & REHAB; EASTRIDGE NURSING CENTER; SOUTHWIND NURSING & REHAB CENTER","Regional Chain or Consultant"
"ILANA AVINARI","CFO",5,2,"NJ;NY","OPTIMA CARE JERSEY CITY; OPTIMA CARE - CASTLE HILL; LITTLE NECK CARE CENTER; ALARIS HEALTH AT THE FOUNTAINS; WHITE PLAINS CENTER FOR NURSING CARE","Regional Chain or Consultant"
"SOLOMON RUBIN","MEMBER",5,1,"NY","HARLEM CENTER FO NURSING & REHAB; CROWN HEIGHTS; HAMILTON PARK NURSING & REHAB CENTER; LINDEN CENTER FOR NURSING & REHAB; BEDFORD CENTER FOR NURSING & REHAB","Regional Chain or Consultant"
"SHAHRZAD JANNAT","ADMINISTRATOR",5,1,"CA","SANTA MONICA REHABILITATION CENTER; MAPLE HEALTHCARE CENTER; COMMUNITY CARE ON PALM; PASADENA NURSING CENTER; FOOTHILL HEIGHTS CARE CENTER","Regional Chain or Consultant"
"SOL KLEIN","CFO",5,1,"NY","CLOVE LAKES HEALTH CARE & REHAB; GOLDEN HILL NURSING & REHAB CENTER; BUENA VIDA CARE & REHAB CENTER; HUDSON VIEW CARE CENTER  INC.; YONKERS GARDENS LLC","Regional Chain or Consultant"
"ISRAEL FRIEDMAN","CEO",5,1,"NC","SAPPHIRE RIDGE HEALTH AND REHAB; SWANNANOA VALLEY HEALTH AND REHABILI; BEAR MOUNTAIN HEALTH AND REHAB; HILLTOP HEALTH AND REHABILITATION (A; ORCHARD VALLEY HEALTH AND REHABILITA","Regional Chain or Consultant"
"RODNEY BALL","SVP  REGION CFO - SOUTHEAST",5,1,"NC","AHSNF - CLEVELAND PINES; AHSNF - HUNTERSVILLE OAKS; AHSNF - JESSE HELMS; AHSNF - SARDIS OAKS; AHSNF - STANLY MANOR","Regional Chain or Consultant"
"MICHAEL RUBACK","RECEIVER",5,1,"OH","EMBASSY LYNDHURST  LLC; EMBASSY OF NEWARK; EMBASSY OF EUCLID; EMBASSY OF MARION; EMBASSY OF PAINESVILLE","Regional Chain or Consultant"
"CHARLES LIGHT","OPERATOR",5,1,"PA","DARWAY HEALTHCARE AND REHAB CENTER; MILFORD HEALTHCARE AND REHAB CENTER; SCENERY HILL HEALTHCARE & REHAB; ROLLING HILLS HEALTHCARE & REHAB; RICHFIELD HEALTHCARE & REHAB CENTER","Regional Chain or Consultant"
"KEN ROBBINS","SENIOR VICE PRESIDENT",5,1,"TX","PARKWAY PLACE; CALDER WOODS; BUCKNER WESTMINSTER PLACE; VENTANA BY BUCKNER; THE STAYTON AT MUSEUM WAY","Regional Chain or Consultant"
"JAMIE WOODS","CFO",5,1,"KY","CHRISTIAN HEALTH CENTER - LOUISVILLE; CHRISTIAN HEALTH CENTER-HOPKINSVILLE; CHRISTIAN HEALTH CENTER - CORBIN; CHRISTIAN HEALTH CTR - BOWLING GREEN; THE HOME PLACE - MIDWAY","Regional Chain or Consultant"
"KATELYN ROMANO COLLINS","CFO",5,1,"MA","DARTMOUTH HOUSE NURSING HOME  INC.; ST. JOHN NURSING HOME  INC.; WEST SIDE CORPORATION; ERLIN MANOR NURSING HOME  INC.; CLAFLIN HILL CORPORATION","Regional Chain or Consultant"
"NICOLE BROSSMAN","CONTROLLER REGIONAL FINANCE",5,1,"MI","BOTSFORD CONTINUING CARE CORPORATION; OAKWOOD SKILLED NURSING; COREWELL HEALTH RNC LEFFINGWELL; COREWELL HEALTH RNC KENTRIDGE; COREWELL HEALTH RNC - PINE RIDGE","Regional Chain or Consultant"
"GREG SPENCE","CFO",5,1,"MO","CEDAR POINTE; WOODLAND MANOR; PARKWOOD SKILLED NURSING & REHAB; SILVERSTONE PLACE; MARYMOUNT MANOR","Regional Chain or Consultant"
"ISRAEL SHERMAN","OWNER",5,1,"NY","ABSOLUT CTR AT ALLEGANY LLC; ABSOLUT CTR AT AURORA PARK LLC; ABSOLUT CTR AT GASPORT LLC; ABSOLUT CTR AT THREE RIVERS LLC; ABSOLUT CTR AT WESTFIELD LLC","Regional Chain or Consultant"
"JEFF HYATT","CEO",5,1,"WA","LANDMARK CARE CENTER; SHUKSAN HEALTHCARE CENTER; SOUNDVIEW REHABILITATION AND HEALTH; WILLOW SPRINGS CARE INC; NORTH CENTRAL CARE CENTER","Regional Chain or Consultant"
"ERIN CLEVENGER","CEO",5,1,"TX","THE BROADMOOR AT CREEKSIDE PARK; ASHFORD GARDENS; FORT BEND HEALTHCARE CENTER; THE CRESCENT; SOLERA AT WEST HOUSTON","Regional Chain or Consultant"
"BOYD WRIGHT","PRESIDENT",5,1,"AR","MANILA NURSING CENTER; LAKESIDE NURSING CENTER; HERITAGE SQUARE NURSING CENTER; GOSNELL THERAPY AND LIVING CENTER; HARRIS HEALTH AND REHAB","Regional Chain or Consultant"
"MARIE MOYA","CONTROLLER",5,1,"CA","MISSION VIEW HEALTH CENTER; ARROYO GRANDE CARE CENTER; VINEYARD HILLS HEALTH CENTER; BAYSIDE CARE CENTER; DANISH CARE CENTER","Regional Chain or Consultant"
"KRIS HANSEN","CEO",5,1,"IA","MADRID HOME FOR THE AGING; GRAND JIVANTE; WESTERN HOME COMMUNITIES; THE SUITES AT WESTERN HOME COMM.; CREEKSIDE","Regional Chain or Consultant"
"DAN PIERCE","CFO",5,1,"LA","NEW IBERIA MANOR SOUTH; MEADOWVIEW HEALTH & REHAB CENTER; PIERREMONT HEALTHCARE CENTER; KAPLAN HEALTHCARE CENTER; PATTERSON HEALTHCARE CENTER","Regional Chain or Consultant"
"SAM YUROWITZ","CEO",5,1,"MA","MILFORD CENTER; VANTAGE AT HAMPDEN; WESTFIELD CENTER; WAKEFIELD CENTER; PALM CENTER","Regional Chain or Consultant"
"SCOTT GARBER","INTERIM CFO",5,1,"MI","COVENTRY HOUSE INN; CARETEL INNS OF TRI CITIES; CARETEL INNS OF LINDEN; APPLEWOOD NURSING CENTER; WOODCARE V INC","Regional Chain or Consultant"
"KRISTIN SIGNOR","CFO",5,1,"NY","ST. PETERS NURSING AND REHAB. CTR; EDDY VILLAGE GREEN AT COHOES; EDDY HERITAGE HOUSE NURSING AND REHA; OUR LADY OF MERCY LIFE CENTER; SETON HLTH AT SCHUYLER RIDGE RESID.","Regional Chain or Consultant"
"MATT PAYNE","CFO",5,1,"OH","WESTERN HILLS NURSING AND REHAB; LODGE NURSING AND REHAB; OAK CREEK TERRCE; GLENDALE PLACE NURSING AND REHAB; SANCTUARY POINTE NURSING AND REHAB","Regional Chain or Consultant"
"MIKE ZIDELE","CFO",5,1,"PA","BEAVER HEALTHCARE & REHAB CENTER; MULBERRY HEALTHCARE & REHAB CENTER; RIDGEVIEW HEALTHCARE & REHAB CENTER; LAKEVIEW HELATHCARE AND REHAB CENTER; SCOTTDALE HEALTHCARE & REHAB CENTER","Regional Chain or Consultant"
"NORMA ANDRES","CONTROLLER",5,1,"CA","WILLOW PASS HEALTHCARE CENTER; KYAKAMEENA SANITORIUM; ELMWOOD CARE CENTER; SAN LEANDRO HEALTHCARE CENTER; RED BLUFF HEALTH CARE CENTER","Regional Chain or Consultant"
"MICHAEL MOORE","CFO",5,2,"IA;NE","RED OAK REHAB & CARE CENTER; INDIAN HILLS MANOR; FALLS CITY CARE CENTER; CREST VIEW CARE CENTER; EMBASSY REHAB & CARE CENTER","Regional Chain or Consultant"
"MICHAEL KAPLAN","CFO",5,2,"MA;NH","BEAR MOUNTAIN 320 OPERATING LLC; BEAR MT PARKWAY LLC; BEAR MT WEST ROXBURY LLC; BEAR MOUNTAIN MATTAPAN LLC; BEAR MT HANOVER LLC","Regional Chain or Consultant"
"MARK HASTINGS","OWNER",5,2,"KS;MO","ANEW HEALTHCARE ODESSA; ANEW HEALTHCARE EASTON; ANEW HEALTHCARE BROOKFIELD; ANEW HEALTHCARE SARCOXIE; ANEW HEALTHCARE BRUNSWICK","Regional Chain or Consultant"
"DAVID STADTMUELLER","CFO",5,1,"MO","ASPIRE SENIOR LIVING MALDEN; ASPIRE SENIOR LIVING MOBERLY; ASPIRE SENIOR LIVING PLATTE CITY; OAK GROVE NURSING & REHAB; ASPIRE SENIOR LIVING JONESBURG","Regional Chain or Consultant"
"KEVIN JOHNSON","CFO",5,1,"SC","PHSC-SUMMERVILLE; PHSC - CLINTON; PHSC - COLUMBIA; PHSC-FOOTHILLS; PHSC - FLORENCE","Regional Chain or Consultant"
"ADAM FLEMING","FINANCE DIRECTOR",5,1,"TN","TN STATE VETERANS HOME-HUMBOLDT; TN STATE VETERANS HOME-MURFREESBORO; TN STATE VETERANS HOME-KNOXVILLE; TN STATE VETERANS HOME-CLARKSVILLE; TSVH - CLEVELAND","Regional Chain or Consultant"
"DAVID CHARTER","SENIOR VP FOR FINANCE & CFO",5,1,"GA","MAGNOLIA MANOR METHODIST NC; MAGNOLIA MANOR COLUMBUS WEST; MAGNOLIA MANOR COLUMBUS EAST; MAGNOLIA MANOR MARION COUNTY; MAGNOLIA MANOR OF MIDWAY","Regional Chain or Consultant"
"KEVIN BROOKS","CHIEF FINANCIAL OFFICER",5,1,"ME","MAINE VETERANS HOMES-AUGUSTA; MAINE VETERANS HOMES-SCARBOROUGH; MAINE VETERANS HOMES-BANGOR; MAINE VETERANS HOME-CARIBOU; MAINE VETERANS HOMES-SOUTH PARIS","Regional Chain or Consultant"
"TIM KREISHER","CHIEF OF ACCOUNTING",5,1,"CA","NELSON M. HOLDERMAN; VETERANS HOME OF CA - CHULA VISTA; VETERANS HOME OF CA - REDDING; VETERANS HOME OF CA - FRESNO; VETERANS HOME OF CA - WEST LA","Regional Chain or Consultant"
"MICHAEL FALBO","CFO",5,3,"FL;OH;PA","CONCORDIA VILLAGE OF TAMPA; CONCORDIA AT SUMNER; CONCORDIA LUTHERAN HEALTH & HUMANCAR; CONCORDIA OF THE SOUTH HILLS - SNF; CONCORDIA AT VILLA ST. JOSEPH - SNF","Regional Chain or Consultant"
"ARCHIE CHAPMAN","PRESIDENT",5,1,"AL","DADEVILLE HEALTHCARE CENTER; LAFAYETTE EXTENDED CARE; GOODWATER HEALTHCARE CENTER; CHAPMAN HEALTHCARE CENTER  INC.; COOSA VALLEY HEALTHCARE CENTER  LLC","Regional Chain or Consultant"
"GREGORY MOORE","PRESIDENT",4,1,"TX","SENIOR CARE OF CORPUS CHRISTI; WINDCREST NURSING AND REHABILITATION; WURZBACH NURSING AND REHABILITATION; HOUSTON HEIGHTS","Small Operator"
"PAUL OMROD","VP OF REIMBURSEMENT",4,1,"PA","THE GARDENS AT EAST MOUNTAIN; THE GARDENS AT BLUE RIDGE; THE GARDENS AT WYOMING VALLEY; THE GARDENS AT STROUD","Small Operator"
"JOYCE BELZ","CFO",4,1,"TX","MONT BELVIEU REHABILITATION & HEALTH; BAYWOOD CROSSING REHABILITATION & HE; TRINITY REHABILITATION & HEALTHCARE; MONT BELVIEU REHBAILITATION & HEALTH","Small Operator"
"ZACHARY LAPIN","CEO",4,1,"TX","THE OASIS AT GALLERIA; THE OASIS AT GALLERIA; ARLINGTON RESIDENCE AND REHAB; THE OASIS AT PEARLAND","Small Operator"
"TAMMY DAVIDSON","CFO",4,1,"VA","JONES & CABACOY VETERANS CARE CENTER; VA VETERANS CARE CENTER; SITTER & BARFOOT VETERANS CARE CTR; JONES & CABACOY VETERANS CARE CENTER","Small Operator"
"HOLLY VAREHA","CFO",4,1,"PA","BETHLEN HOME; CONCORDIA AT THE CEDARS; HARMONY PHYSICAL REHABILITATION; BETHLEN HOME","Small Operator"
"MICHAEL RUFF","CFO",4,1,"TX","ARBOR LAKE NURSING & REHABILITATION; HIGHLAND PINES NURSING HOME; SAN ANTONIO WELLNESS AND REHAB; EVERGREEN MANOR","Small Operator"
"MARK GOTTLIEB","OWNER",4,1,"CT","BRIDE BROOK HEALTH & REHAB CENTER; THE SUFFIELD HOUSE; VERNON MANOR; MANCHESTER MANOR","Small Operator"
"STEPHEN BERNIER","CFO",4,2,"CT;NY","TORRINGTON CENTER FOR NURSING & REHA; SOUTHPORT CENTER FOR NURSING & REHAB; WEST HAVEN CENTER FOR NURSING & REHA; TUPPER LAKE CENTER","Small Operator"
"HAROLD HADLEY","CFO",4,1,"TX","REGENT CARE CENTER OF THE WOODLANDS; REGENT CARE AT THE MEDICAL CENTER; REGENT CARE CENTER OF LEAGUE CITY; REGENT CARE CENTER OF KINGWOOD","Small Operator"
"ALAN SAMPLES","CFO",4,1,"TX","OAK PARK NURSING AND REHAB; VALLEY GRANDE MANOR; BAYOU PINES CARE CENTER; SAN RAFAEL NURSING AND REHAB","Small Operator"
"MARK LIETZKE","CFO",4,1,"OK","BBHR OPCO LLC; THE OAKS HEALTHCARE; BEDLAM PROPERTIES  LLC; SNH OPCO  LLC","Small Operator"
"BECKY HANSEN","EXECUTIVE VICE PRESIDENT AND CFO",4,1,"ND","SMP HEALTH - MARYHILL; SMP HEALTH - ST. CATHERINE NORTH; SMP HEALTH - ST. CATHERINE SOUTH; SMP HEALTH - AVE MARIA","Small Operator"
"CRAIG RITTER","DIRECTOR OF FINANCE",4,1,"MN","ST. MARKS LUTHERAN HOME; PIERZ VILLA INC; SEASONS HEALTHCARE OF TRIMONT  INC.; LAKES COMMUNITIES  INC","Small Operator"
"ANDREA KEPPLE","CORPORATE CONTROLLER",4,2,"KS;MN","OPCO NEW LONDON MN LLC; HERINGTON OPCO LLC; SALINA WINDSOR SNF OPCO LLC; LEGACY ON COLLEGE HILL","Small Operator"
"KEN BERNSEN","PRESIDENT",4,1,"OH","3102 ST. CHARLES DRIVE OPERATING CO.; CARRIAGE INN OF CADIZ; THE GABLES CARE CENTER; SUNNYSLOPE NURSING HOME","Small Operator"
"MELISSA FROWNFELTER","CEO/COO",4,1,"PA","SL VILLAGE AT UTZ TERRACE; SL VILLAGE AT GETTYSBURG; SL VILLAGE AT SPRENKLE DRIVE; THE VILLAGE AT LUTHER RIDGE","Small Operator"
"KIMBERLY JUSTINIANO","CFO",4,1,"VA","CARRINGTON PLACE OF WYTHEVILLE; CARRINGTON PLACE AT BOTETOURT; CARRINGTON PLACE OF TAPPAHANNOCK; GREENBRIER REGIONAL MEDICAL CENTER","Small Operator"
"CHRISTOPHER VANGEL","PRESIDENT",4,1,"IL","BOLINGBROOK- BUTTERFIELD HEALTH CARE; LEE MANOR HEALTH CARE RESIDENCE; MEADOWBROOK MANOR OF NAPERVILLE; MEADOWBROOK MANOR LAGRANGE","Small Operator"
"BRIAN SMITH","CFO",4,1,"LA","LAKESHORE MANOR NURSING & REHAB; CYPRESS AT LAKE PROVIDENCE; ST. BERNARD NURSING & REHAB; CHATEAU NAPOLEON CARING  LLC","Small Operator"
"GARRY PACE","PRESIDENT",4,1,"MS","SCOTT COUNTY LTC  INC; KEMPER COUNTY LTC  INC.; WASHINGTON COUNTY LTC  INC; SMITH COUNTY LTC  LLC","Small Operator"
"MATT MOMAN","CEO",4,1,"TX","MAGNOLIA PLACE; HEALTHCARE ESTATES AT VETERANS MEMOR; CAPSTONE HEALTHCARE ESTATES ON OREM; SENIOR VILLAGE NURSING HOME","Small Operator"
"KENDALL BROUSSARD","MANAGER",4,1,"TX","CARECHOICE OF BOERNE; HIGH HOPE CARE CENTER OF BRENHAM; WOODLAND SPRINGS NURSING CENTER; DFW NURSING AND REHAB","Small Operator"
"MICAH PORTER","CFO",4,1,"CA","VALLEY SUBACUTE AND REHAB CTR.; RIVER VIEW POST ACUTE; HARVEST CROSSING POST ACUTE; ALMOND VISTA HEALTHCARE CENTER","Small Operator"
"JONATHAN ASCHENDORF","CFO",4,2,"AL;CO","BELMONT LODGE NURSING CENTER; PRESTIGE CARE CENTER OF MORRISON; ELITE NURSING AND REHABILITATION CAR; PRESTIGE CARE CENTER OF FORT COLLINS","Small Operator"
"KIRA FRAZIER","REIMBURSEMENT SPECIALIST",4,3,"CO;IL;OH","LIBERTY HEIGHTS; LINCOLNWOOD PLACE; COURTYARD AT SEASONS; WELLSPRING HEALTH CENTER","Small Operator"
"KIMBERLY SMITH","CFO",4,3,"IL;KY;MO","FRIENDSHIP MANOR GROUP; CEDARGATE HEALTHCARE GROUP; PIONEER TRACE GROUP  LLC; BRIGHTON CORNERSTONE GROUP  LLC","Small Operator"
"ELTON G. BEEBE  SR.","AUTHORIZED REPRESENTATIVE",4,1,"LA","OAKS OF HOUMA CCC  LLC; LANDMARK OF PLAQUEMINE  LLC; MINDEN COMMUNITY CARE CENTER  LLC; LANDMARK OF RAYNE  LLC","Small Operator"
"ELY MARMORSTEIN","CFO",4,2,"MD;ME","WATERVILLE CENTER FOR HEALTH & REHAB; OASIS NURSING & REHAB  LLC; CHAPEL HILL NURSING & REHAB CENTER; NORTH OAKS RETIREMENT COMMUNITY","Small Operator"
"KARI BEASLEY","AUTHORIZED REPRESENTATIVE",4,1,"MS","CCC OF LAUREL  LLC; CCC OF GRENADA  LLC; CCC OF ABERDEEN  LLC; PERRY CCC  LLC","Small Operator"
"MICHAEL PAWLOW","DIRECTOR OF MEDICARE REIMBURSEMENT",4,1,"NY","HARRIS HILL NURSING FACILITY; SENECA HEALTH CARE CENTER; AUTUMN VIEW HEALTH CARE FACILITY; BROOKHAVEN HEALTH CARE FACILITY","Small Operator"
"MANNY KAUFMAN","CEO",4,1,"NC","SALISBURY REHABILITATION AND NURSING; ACCORDIUS HEALTH AT MOORESVILLE; CONCORD REHABILITATION AND NURSING C; GLENWOOD REHABILITATION AND NURSING","Small Operator"
"YOSSIE EMANUEL","CHIEF EXECUTIVE OFFICER",4,1,"NC","PIEDMONT HILLS NURSING AND REHAB; MILL CREEK CENTER NURSING AND REHAB; PINE ACRES CENTER NURSING AND REHAB; LINDEN PLACE NURSING AND REHAB","Small Operator"
"DAVID ONEILL","DIRECTOR OF OPERATIONS",4,1,"OH","ONEILL HEALTHCARE LAKEWOOD; ONEILL HEALTHCARE NORTH RIDGEVILLE; ONEILL HEALTHCARE FAIRVIEW PARK; ONEILL HEALTHCARE MIDDLEBURG HEIGHT","Small Operator"
"MARK FRIEDMAN","MEMBER",4,1,"OH","WARREN NURSING & REHAB; EASTBROOK HEALTHCARE CENTER; HUDSON SPRINGS NURSING AND REHAB; BETHESDA CARE CENTER","Small Operator"
"NICK BERARDINO","CFO",4,1,"OH","CARROLL HEALTHCARE CENTER; CAPRICE HEALTHCARE CENTER; CALCUTTA HEALTHCARE CENTER; TWINSBURG HEALTH CARE CENTER","Small Operator"
"WENDY CRAMPTON","VICE PRESIDENT FINANCE",4,2,"MD;PA","HOMEWOOD AT PLUM CREEK; HOMEWOOD AT WILLIAMSPORT; HOMEWOOD AT MARTINSBURG; HRC-FREDERICK@CRUMLAND","Small Operator"
"MATT FUNK","VP FINANCE",4,2,"FL;GA","ATHENS POST-ACUTE; BLUE LAKE POST-ACUTE; SPALDING POST ACUTE; TOWER ROAD POST ACUTE LLC","Small Operator"
"KRYSTAL ECKHART","FINANCIAL OFFICER",4,2,"GA;OK","EASTMAN HEALTHCARE & REHAB; GLEN EAGLE HEALTHCARE & REHAB; PARK PLACE HEALTHCARE AND REHAB; FAMILY CARE CENTER OF FAIRLAND","Small Operator"
"CHARLES MOODY III","MEMBER",4,1,"LA","MAISON D/ACADIENS CARE CENTER; ST. CLARE MANOR; MAISON DE LAFAYETTE; FAIR CITY HEALTH AND REHAB","Small Operator"
"ARIEL ERLICHMAN","OWNER",4,2,"MA;NH","WOBURN NURSING CENTER INC.; ABERJONA NURSING CENTER INC.; GREENBRIAR HEALTHCARE; WINCHESTER NURSING CENTER INC","Small Operator"
"JEREMY STRAUSS","OPERATOR",4,1,"NY","GRAND BATAVIA LLC; GRAND MOHAWK VALLEY LLC; BLOSSOM HEALTH CARE CENTER; THE GRAND REHAB AND NURSING AT UTICA","Small Operator"
"BRANDT ANDERSON","CFO",4,1,"WA","CASHMERE CONVALESCENT CENTER; ROO LAN HEALTH & REHAB; AUBURN POST ACUTE; NORTH BEND POST ACUTE","Small Operator"
"KENNA HUDSON","CONTROLLER",4,2,"IL;IN","HOOSIER CHRISTIAN VILLAGE; CROWN POINT CHRISTIAN VILLAGE; LEWIS MEMORIAL CHRISTIAN VILLAGE; HICKORY POINT CHRISTIAN VILLAGE","Small Operator"
"SHALOM FRIEDLAND","MANAGER",4,1,"MD","PEACE HEALTHCARE AT DENNET ROAD; PEACE HEALTHCARE AT LIONS CENTER; PEACE HEALTHCARE AT RIDGEWAY MANOR; PEACE HEALTHCARE AT MOUNTAIN CITY","Small Operator"
"AZRIEL LIEBERMAN","MANAGER",4,1,"MA","ADVINIACARE NATICK; FALL RIVER JEWISH HOME; ADVINIACARE EAST BRIDGEWATER; ADVINIACARE ABINGTON","Small Operator"
"MEIR KAPLAN","CEO",4,2,"IA;NE","PRESTIGE CARE CENTER OF PLATTSMOUTH; PRESTIGE CARE CENTER OF NEBRASKACITY; PRESTIGE CARE CENTER OF FAIRFIELD; PINE ACRES REHABILITATION AND CARE C","Small Operator"
"WILLIAM LEVERING","PRESIDENT",4,1,"OH","COUNTRY COURT NURSING HOME; DELAWARE COURT HEALTH CARE; MORROW MANOR NURSING CENTER; WINCHESTER TERRACE","Small Operator"
"PAUL ADAMIC","CFO",4,1,"OH","SHEPHERD OF THE VALLEY - LIBERTY; SHEPHERD OF THE VALLEY BOARDMAN; SHEPHERD OF THE VALLEY - HOWLAND; SHEPHERD OF THE VALLEY-POLAND","Small Operator"
"PAMELA FORMICA","CHIEF FINANCIAL OFFICER",4,1,"PA","MASONIC VILLAGE AT SEWICKLEY; MASONIC VILLAGE AT LAFAYETTE HILL; MASONIC VILLAGE AT WARMINSTER; MASONIC VILLAGE AT ELIZABETHTOWN","Small Operator"
