rpt_rec_num,prvdr_num,npi,prvdr_ctrl_type_cd,fy_bgn_dt,fy_end_dt,rpt_stus_cd,facility_name,address,city,state,zip,certifier_name,certifier_printed_name,certifier_title,certifier_date
1426843,045280,,4,01/01/2024,12/31/2024,2,TWIN LAKES THERAPY AND LIVING,6152 HIGHWAY 202 EAST,FLIPPIN,AR,72634-9726,DARREN MAGNESS,DARREN MAGNESS,VP - FINANCE,05/28/2025
1426844,045284,,6,01/01/2024,12/31/2024,1,RANDOLPH SNF DBA POCAHONAS,105 COUNTRY CLUB ROAD,POCAHONTAS,AR,72455,DEBBIE HICKS,DEBBIE HICKS,ADMINSTRATOR,05/28/2025
1426848,045300,,4,01/01/2024,12/31/2024,2,PARIS HEALTH AND REHAB CENTER,1414 SOUTH ELM,PARIS,AR,72855,CODY LONG,CODY LONG,CHIEF FINANCIAL OFFICER,05/22/2025
1426850,045308,,4,01/01/2024,12/31/2024,2,HERITAGE LIVING CENTER,1175 MORNINGSIDE DRIVE,CONWAY,AR,72034,DARREN MAGNESS,DARREN MAGNESS,VP - FINANCE,05/27/2025
1426868,045390,,6,01/01/2024,12/31/2024,1,ENCORE HEALTH & REHAB WEST LITTLE RO,12111 HINSON ROAD,LITTLE ROCK,AR,72212,BRANDON BOSWELL,BRANDON BOSWELL,ADMINISTRATOR,05/28/2025
1426871,045419,,6,01/01/2024,12/31/2024,1,ASHTON PLACE HEALTH AND REHAB  LLC,318 STROZIER LANE,BARLING,AR,72923,,,,
1426876,045449,,6,01/01/2024,12/31/2024,2,CRESTPARK MARIANNA  LLC,700 WEST CHESTNUT,MARIANNA,AR,72360,,,,
1426887,055041,,4,01/01/2024,12/31/2024,1,ROYAL CARE SKILLED NURSING CENTER,2725 PACIFIC AVENUE,LONG BEACH,CA,90806,JAMES KIMBALL,JAMES KIMBALL,CFO,06/02/2025
1426895,055121,,6,01/01/2024,12/31/2024,2,PELICAN RIDGE POST ACUTE,466 FLAGSHIP ROAD,NEWPORT BEACH,CA,92663,ADRIAN DEHGHANMANESH,ADRIAN DEHGHANMANESH,CFO,05/20/2025
1426900,055173,,4,01/01/2024,12/31/2024,2,FOLSOM CONVALESCENT HOSPITAL,510 MILL STREET,FOLSOM,CA,95630,CALVIN CALLAWAY,CALVIN CALLAWAY,ADMINISTRATOR,04/24/2025
1426906,055239,,6,01/01/2024,12/31/2024,1,EAST BAY POST-ACUTE,20259 LAKE CHABOT RD,CASTRO VALLEY,CA,94546,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/28/2025
1426908,055268,,6,01/01/2024,12/31/2024,1,SONOMA POST ACUTE,678 2ND STREET W,SONOMA,CA,95476,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426911,055280,,6,01/01/2024,12/31/2024,1,CENTRAL GARDENS POST ACUTE,1355 ELLIS STREET,SAN FRANCISCO,CA,94115,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/31/2025
1426912,055287,,6,01/01/2024,12/31/2024,1,VALLEY PALMS CARE CENTER,13400 SHERMAN WAY,NORTH HOLLYWOOD,CA,91605,PAULINA SALAZAR,PAULINA SALAZAR,CFO,05/31/2025
1426918,055310,,6,01/01/2024,12/31/2024,1,MARIN POST ACUTE,234 NORTH SN PEDRO ROAD,SAN RAFAEL,CA,94903,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426924,055372,,6,01/01/2024,12/31/2024,1,VALLEY VIEW POST ACUTE,3111 SANTA ANITA AVENUE,EL MONTE,CA,97133,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426925,055376,,6,01/01/2024,12/31/2024,1,HUNTINGTON DRIVE HEALTH & REHAB CTR,400 W HUNTINGTON DRIVE,ARCADIA,CA,91007,PAULINA SALAZAR,PAULINA SALAZAR,CFO,06/01/2025
1426928,055443,,6,01/01/2024,12/31/2024,1,WEST VALLEY POST ACUTE,7057 SHOUP AVE,CANOGA PARK,CA,91307,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,06/01/2025
1426934,055491,,6,01/01/2024,12/31/2024,2,OAK RIDGE HEALTHCARE CENTER,310 OAK RIDGE DRIVE,ROSEVILLE,CA,95661,,JACK SANOFSKY,MANAGING PARTNER,
1426936,055497,,6,01/01/2024,12/31/2024,1,THE PINES AT PLACERVILLE HEALTHCARE,1040 MARSHALL WAY,PLACERVILLE,CA,95667,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426940,055551,,6,01/01/2024,12/31/2024,1,SEQUOIA TRANSITIONAL CARE,350 N. VILLA ST,PORTERVILLE,CA,92357,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426941,055565,,6,01/01/2024,12/31/2024,1,WATERMAN CANYON POST ACUTE,1850 N. WATERMAN AVE,SAN BERNARDINO,CA,92404,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/31/2025
1426942,055568,,6,01/01/2024,12/31/2024,1,SIERRA VALLEY REHAB CENTER,301 WEST PUTNAM,PORTERVILLE,CA,93257,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426943,055581,,6,01/01/2024,12/31/2024,1,JURUPA HILLS POST ACUTE,6401 33RD ST,JURUPA VALLEY,CA,92509,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/29/2025
1426945,055608,,6,01/01/2024,12/31/2024,1,PRIMROSE POST-ACUTE,515 CENTINELLA AVENUE,INGLEWOOD,CA,90302,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426947,055619,,6,01/01/2024,12/31/2024,1,ONTARIOIDENCE OPCO  LLC,800 E FIFTH STREET,ONTARIO,CA,91464,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/29/2025
1426950,055670,,4,01/01/2024,12/31/2024,1,BROADWAY MANOR CONVALESCENT HOSPITAL,605 W BROADWAY,GLENDALE,CA,91204,DAVID FRIEDMAN,DAVID FRIEDMAN,PRESIDENT,05/24/2025
1426951,055697,,6,01/01/2024,12/31/2024,1,COSTA DEL SOL HEALTHCARE,1016 S. RECORD STREET,LOS ANGELES,CA,90023,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/31/2025
1426958,055797,,4,01/01/2024,12/31/2024,1,GILROY HEALTHCARE & REHABILITATION C,8170 MURRAY AVENUE,GILROY,CA,95020,JAMES KIMBALL,JAMES KIMBALL,CFO,06/02/2025
1426959,055798,,6,01/01/2024,12/31/2024,1,VASONA CREEK HEALTHCARE CTR.,16412 LOS GATOS BLVD,LOS GATOS,CA,95032,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426960,055806,,6,01/01/2024,12/31/2024,1,VILLA LAS PALMAS HEALTHCARE,622  S. ANZA ST.,EL CAJON,CA,92020,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/31/2025
1426961,055817,,6,01/01/2024,12/31/2024,1,MONTE VISTA HEALTHCARE CENTER,802 BUENA VISTA STREET,DUARTE,CA,91010,PAULINA SALAZAR,PAULINA SALAZAR,CFO,06/01/2025
1426962,055830,,4,01/01/2024,12/31/2024,2,VILLA MARIA CARE CENTER,425 EAST BARCELLUS AVENUE,SANTA MARIA,CA,93454,JARON WATSON,JARON WATSON,ADMINISTRATOR,04/24/2025
1426968,055861,,6,01/01/2024,12/31/2024,1,OJAI HEALTH & REHABILITATION,601 N MONTGOMERY STREET,OJAI,CA,93023,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426969,055869,,6,01/01/2024,12/31/2024,1,VALLEY SUBACUTE AND REHAB CTR.,515 E ORANGEBURG AVE,MODESTO,CA,95350,MICAH PORTER,MICAH PORTER,CFO,05/29/2025
1426974,055952,,4,01/01/2024,12/31/2024,1,TORRANCE CARE CENTER WEST,4333 TORRANCE BLVD,TORRANCE,CA,90503,,,,
1426980,055996,,6,01/01/2024,12/31/2024,1,SHIELDS SKILLED CARE LLC,3408 EAST SHIELD AVENUE,FRESNO,CA,93726,JASON PARROTT,JASON PARROTT,DIRECTOR OF FINANCE,06/02/2025
1426982,056021,,6,01/01/2024,12/31/2024,1,LONE TREE POST ACUTE,4001 LONE TREE WAY,ANTIOCH,CA,94509,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426983,056024,,6,01/01/2024,12/31/2024,1,HIGHLAND PALMS HEALTHCARE,7324 PALM AVENUE,HIGHLAND,CA,92346,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/29/2025
1426985,056039,,6,01/01/2024,12/31/2024,1,MIRAGE POST ACUTE,44445 15TH ST. WEST,LANCASTER,CA,93534,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1426988,056063,,4,01/01/2024,12/31/2024,1,INFINITY CARE OF EAST LOS ANGELES,101 S. FICKETT STREET,LOS ANGELES,CA,90033,,,,
1426989,056071,,1,01/01/2024,12/31/2024,1,THE SEQUOIAS-SAN FRANCISCO,1400 GEARY STREET,SAN FRANCISCO,CA,94109,TONY KIMANI,TONY KIMANI,ACCOUNTING MANAGER,05/28/2025
1426990,056079,,4,01/01/2024,12/31/2024,1,GLENDORA GRAND,805 W. ARROW HIGHWAY,GLENDORA,CA,91740,,,,
1426993,056105,,6,01/01/2024,12/31/2024,1,BALBOA NURSING AND REHAB CENTER,3520 FOURTH AVENUE,SAN DIEGO,CA,92103,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/28/2025
1426994,056124,,6,01/01/2024,12/31/2024,2,TARZANA HEALTH & REHAB CENTER,5650 RESEDA BOULEVARD,TARZANA,CA,91356,ADRIAN DEHGHANMANESH,ADRIAN DEHGHANMANESH,CFO,05/20/2025
1426995,056186,,4,01/01/2024,12/31/2024,1,CENTINELA GRAND,2222 N. PERRIS BLVD,PERRIS,CA,92571,,,,
1426999,056238,,6,01/01/2024,12/31/2024,1,WINDSOR VALLEJO CARE CENTER,2200 TUOLUMNE STREET,VALLEJO,CA,94589,DANIEL OH,DANIEL OH,ASSISTANT CONTROLLER,06/02/2025
1427005,056304,,6,01/01/2024,12/31/2024,2,MISSION CARMICHAEL HEALTHCARE CENTER,3630 MISSION AVENUE,CARMICHAEL,CA,95608,ADRIAN DEGHANMANESH,ADRIAN DEGHANMANESH,CFO,05/20/2025
1427006,056315,,6,01/01/2024,12/31/2024,1,CYPRESS GARDENS CONVALES HOSPITAL,9025 COLORADO AVENUE,RIVERSIDE,CA,92503,DANIEL OH,DANIEL OH,ASSISTANT CONTROLLER,06/03/2025
1427009,056405,,4,01/01/2024,12/31/2024,1,CERRITOS VISTA HEALTHCARE CENTER,17836 SOUTH WOODRUFF AVENUE,BELLFLOWER,CA,90706,DAVID FRIEDMAN,DAVID FRIEDMAN,MEMBER,05/24/2025
1427012,056471,,4,01/01/2024,12/31/2024,2,KAYAL INC,442 SUNSET BLVD,HAYWARD,CA,94541-3832,,,,
1427013,056476,,6,01/01/2024,12/31/2024,1,WINDSOR ROSEWOOD CARE CENTER,1911 OAK PARK BLVD,PLEASANT HILL,CA,94523,DANIEL OH,DANIEL OH,ASSISTANT CONTROLLER,06/03/2025
1427014,056477,,4,01/01/2024,12/31/2024,1,EASTLAND SUBACUTE AND REHAB CENTER,3825 DURFEE AVE,EL MONTE,CA,91732,DAVID FRIEDMAN,DAVID FRIEDMAN,MEMBER,05/24/2025
1427015,056478,,6,01/01/2024,12/31/2024,1,LIGHTHOUSE HEALTHCARE CENTER,2222 SANTA ANA BLVD.,LOS ANGELES,CA,90059,DAVID STROTHER,DAVID STROTHER,ADMINISTRATOR,05/23/2025
1427017,065034,,6,01/01/2024,12/31/2024,1,AMBERWOOD POST ACUTE,4686 E. ASBURY CIRCLE,DENVER,CO,80222,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/28/2025
1427018,065097,,4,01/01/2024,12/31/2024,2,CASTLE ROCK HEALTHCARE  INC.,115 INGALLS STREET,LAKEWOOD,CO,80226,ASHLEY E IRTZ,ASHLEY E IRTZ,ADMINISTRATOR,05/21/2025
1427021,065147,,6,01/01/2024,12/31/2024,1,MOUNTAIN VIEW POST ACUTE,835 TENDERFOOT HILL ROAD,COLORADO SPRINGS,CO,80906,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1427023,065169,,4,01/01/2024,12/31/2024,1,BELMONT LODGE NURSING CENTER,1601 CONSTITUTION RD,PUEBLO,CO,81001,JONATHAN ASCHENDORF,JONATHAN ASCHENDORF,CFO,06/02/2025
1427024,065183,,4,01/01/2024,12/31/2024,1,PROGRESSIVE CARE CENTER,1338 PHAY AVENUE,CANON CITY,CO,81212,EDISON ONG,EDISON ONG,CFO,06/02/2025
1427030,065235,,6,01/01/2024,12/31/2024,1,PIONEER HEALTH CARE CENTER,900 S 12TH ST,ROCKY FORD,CO,81067-2128,PAT IKERD,PAT IKERD,CFO,05/22/2025
1427032,065241,,6,01/01/2024,12/31/2024,1,HILLTOP PARK POST ACUTE,290 S MONACO PKWY,DENVER,CO,80224,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1427034,065244,,6,01/01/2024,12/31/2024,1,GLENWOOD SPRINGS HEALTHCARE,2305 BLAKE AVE,GLENWOOD SPRINGS,CO,81601-4325,PAT IKERD,PAT IKERD,CFO,05/22/2025
1427035,065248,,4,03/01/2024,12/31/2024,2,OAKWOOD CARE AND REHABILITATION,5301 W. FIRST AVENUE,LAKEWOOD,CO,80226,,JOHN HUMMEL,ADMINISTRATOR,
1427036,065251,,6,01/01/2024,12/31/2024,1,PAONIA CARE & REHAB CENTER,1625 MEADOWBROOK BLVD,PAONIA,CO,81428-9325,PAT IKERD,PAT IKERD,CFO,05/22/2025
1427038,065267,,6,01/01/2024,12/31/2024,1,WINDING TRAILS POST ACUTE,2800 PALO PKWY,BOULDER,CO,80301,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/30/2025
1427042,065285,,6,01/01/2024,12/31/2024,1,SILVER HEIGHTS SKILLED NURSING REHAB,4001 HOME ST,CASTLE ROCK,CO,80108-2802,PAT IKERD,PAT IKERD,CFO,05/22/2025
1427043,065297,,4,01/01/2024,06/30/2024,2,ALLISON CARE CENTER,1660 ALLISON,LAKEWOOD,CO,80214,,CHAIM RASKIN,CFO,
1427045,065305,,4,01/01/2024,12/31/2024,2,LIBERTY HEIGHTS,12205 GUNSTOCK DRIVE,COLORADO SPRINGS,CO,80921,KIRA FRAZIER,KIRA FRAZIER,REIMBURSEMENT SPECIALIST,05/22/2025
1427048,065331,,4,01/01/2024,12/31/2024,1,LARCHWOOD INNS,2845 NORTH 15TH STREET,GRAND JUNCTION,CO,81506,LORETHA BARNES,LORETHA BARNES,ADMINISTRATOR,06/06/2025
1427049,065341,,2,01/01/2024,09/30/2024,2,CASEYS POND SENIOR LIVING,2855 OWL HOOT TRAIL,STEAM BOAT SPRINGS,CO,80487,,,,
1427053,065384,,4,01/01/2024,12/31/2024,1,SANDROCK RIDGE CARE & REHAB CENTER,943 WEST 8TH DRIVE,CRAIG,CO,81625,,,,
1427055,065414,,6,01/01/2024,12/31/2024,1,COAL CREEK POST ACUTE & ASSISTED LIV,329 EXEMPLE CIRCLE,LAFAYETTE,CO,80026,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,05/29/2025
1427057,075084,,5,01/01/2024,12/31/2024,2,VILLA MARIA NURSING & REHABILITATION,20 BABCOCK AVE,PLAINFIELD,CT,06374,RAYMOND DENNEHY,RAYMOND DENNEHY,MEMBER,04/25/2025
1427063,075296,,4,01/01/2024,12/31/2024,1,BRANFORD HILLS HEALTH CARE CENTER,189 ALPS ROAD,BRANFORD,CT,06405,AKIVA FRIED,AKIVA FRIED,MEMBER,05/29/2025
1427067,075327,,4,01/01/2024,12/31/2024,2,MARY ELIZABETH NURSING CENTER,28 BROADWAY,MYSTIC,CT,06355,RYAN VESS,RYAN VESS,CFO,05/16/2025
1427068,075331,,4,01/01/2024,12/31/2024,1,AUTUMN LAKE HEALTHCARE AT THE WILLOW,225 AMITH ROAD,WOODBRIDGE,CT,06525,MARK SCHWARTZ,MARK SCHWARTZ,CEO,05/28/2025
1427070,075387,,4,01/01/2024,12/31/2024,1,AUTUMN LAKE HEALTHCARE OF NORWALK,34 MIDROCKS ROAD,NORWALK,CT,06851,MARK SCHWARTZ,MARK SCHWARTZ,CEO,05/28/2025
1427072,075407,,4,01/01/2024,12/31/2024,1,AUTUMN LAKE HEALTHCARE WEST HARTFORD,ONE EMILY WAY,WEST HARTFORD,CT,06107,MARK SCHWARTZ,MARK SCHWARTZ,CEO,05/28/2025
1427073,075418,,4,01/01/2024,12/31/2024,1,AUTUMN LAKE HEALTHCARE AT BUCKS HILL,2817 NORTH MAIN STREET,WATERBURY,CT,06704,MARK SCHWARTZ,MARK SCHWARTZ,CEO,05/28/2025
1427078,085006,,5,01/01/2024,12/31/2024,1,REGAL HEIGHTS HEALTHCARE & REHAB CTR,6526 LANCASTER PIKE,HOCKESSIN,DE,19707,,,,
1427079,085020,,5,01/01/2024,12/31/2024,1,PINNACLE REHAB AND HEALTH CENTER,3034 SOUTH DUPONT BLVD,SMYRNA,DE,19977,,,,
1427083,085032,,1,01/01/2024,12/31/2024,2,WESTMINSTER VILLAGE/DOVER,1175 MCKEE ROAD,DOVER,DE,19904,DYAN MCALISTER,DYAN MCALISTER,SENIOR VP/CFO,05/22/2025
1427084,085037,,5,01/01/2024,12/31/2024,1,ATLANTIC SHORES REHAB AND HEALTH CTR,231 WASHINGTON STREET,MILLSBORO,DE,19966,,,,
1427086,085052,,4,01/01/2024,12/31/2024,1,PENINSULA HEALTHCARE SERVICES,26002 JOHN J. WILLIAMS HWY,MILLSBORO,DE,19966,,,,
1427087,085053,,2,01/01/2024,12/31/2024,2,THE MOORINGS AT LEWES,17028 CADBURY CIRCLE,LEWES,DE,19958,MARYBETH KOPEC,MARYBETH KOPEC,VICE PRESIDENT OF FINANCE,05/21/2025
1427088,085056,,4,01/01/2024,12/31/2024,1,SILVERSIDE HEALTHCARE SERVICES,3322 SILVERSIDE ROAD,WILMINGTON,DE,19810,,,,
1427089,095020,,2,01/01/2024,12/31/2024,2,STODDARD BAPTIST NURSING HOME,1818 NEWTON STREET NW,WASHINGTON DC,DC,20010,MAHESH TYAGI,MAHESH TYAGI,CFO,05/23/2025
1427091,095036,,4,01/01/2024,12/31/2024,2,UNIQUE REHABILITATION & WELLNESS,901 FIRST STREET  NW,WASHINGTON  D.C.,DC,20001,ERIC HUGH,ERIC HUGH,ADMINISTRATOR,05/15/2025
1427093,105001,,6,01/01/2024,12/31/2024,1,BEDROCK REHAB & NSG AT LAKE EUSTIS,411 W. WOODWARD AVENUE,EUSTIS,FL,32726,,,,
1427099,105071,,6,01/01/2024,12/31/2024,1,BAYSIDE CARE CENTER AND REHAB,811 JACKSON STREET NORTH,ST. PETERSBURG,FL,33705,,,,
1427100,105120,,5,01/01/2024,12/31/2024,1,SERENITY BAY NURSING AND REHAB CTR,16650 W. DIXIE HWY,NORTH MIAMI BEACH,FL,33160,,,,
1427101,105125,,6,01/01/2024,12/31/2024,1,TERRACES OF LAKE WORTH CARE CENTER A,1711 6TH AVENUE SOUTH,LAKE WORTH,FL,33460,,,,
1427103,105146,,6,01/01/2024,12/31/2024,1,VENTURA HEALTH AND REHABILITATION CE,7900 VENTURE CENTER WAY,BOYNTON BEACH,FL,33437,,,,
1427105,105190,,4,01/01/2024,12/31/2024,1,CRESTVIEW REHABILIATION CENTER,1849 FIRST AVENUE EAST,CRESTVIEW,FL,32539,,,,
1427107,105207,,6,01/01/2024,12/31/2024,1,BEDROCK REHAB & NSG AT MELBOURNE,1415 SOUTH HICKORY STREET,MELBOURNE,FL,32901,,,,
1427108,105229,,5,01/01/2024,12/31/2024,2,THE SANDS AT SOUTH BEACH CARE CENTER,42 COLLINS AVE,MIAMI BEACH,FL,33124,MONICA TERRANO,MONICA TERRANO,CFO,02/27/2025
1427109,105250,,6,01/01/2024,12/31/2024,1,SUNRISE POINT HEALTH & REHABILITATIO,1775 HUNTINGTON LANE,ROCKLEDGE,FL,32955,,,,
1427110,105271,,2,01/01/2024,12/31/2024,1,BOCA CIEGA CENTER,1414 59TH STREET SOUTH,GULFPORT,FL,33707,,,,
1427112,105282,,4,01/01/2024,12/31/2024,1,DOS OF EDEN SPRINGS,4679 CRAWFORDVILLE HWY,CRAWFORDVILLE,FL,32327,,,,
1427113,105283,,2,01/01/2024,12/31/2024,1,LAKELAND HILLS CENTER,610 EAST BELLA VISTA DRIVE,LAKELAND,FL,33805,,,,
1427114,105292,,4,01/01/2024,01/31/2024,2,BLUE RIDGE BY THE LAKE LLC,1100 66TH STREET NORTH,ST PETERSBURG,FL,33710,,,,
1427115,105296,,5,01/01/2024,12/31/2024,1,WESTLAKE NURSING AND REHAB CENTER,440 PHIPPEN WAITERS ROAD,DANIA BEACH,FL,33004,,,,
1427116,105298,,6,01/01/2024,12/31/2024,1,FT LAUDERDALE HEALTH AND REHABILITAT,2000 E. COMMERCIAL BLVD,FT LAUDERDALE,FL,33308,,,,
1427117,105299,,2,01/01/2024,12/31/2024,1,WHISPERING OAKS,1514 EAST CHELSEA STREET,TAMPA,FL,33610,,,,
1427119,105320,,6,01/01/2024,12/31/2024,1,DADE CITY HEALTH & REHABILITATION CT,37135 COLEMAN AVE,DADE CITY,FL,33525,,,,
1427120,105325,,6,01/01/2024,12/31/2024,1,BEDROCK REHAB & NURS AT ISLAND,125 ALMA BLVD,MERRITT IS,FL,32953,,,,
1427123,105349,,6,01/01/2024,12/31/2024,1,DELAND SENIOR CARE LLC,130 WEST ARMSTRONG AVENUE,DELAND,FL,32720,SCOTT PEABODY,SCOTT PEABODY,VP FINANCE,05/24/2025
1427124,105358,,4,05/01/2024,12/31/2024,1,RIVERSIDE OPERATOR  LLC,1750 STOCKTON STREET,JACKSONVILLE FL,FL,32204,MARISA DELUCA,MARISA DELUCA,ADMINISTRATOR,05/30/2025
1427125,105379,,6,01/01/2024,12/31/2024,1,KISSIMMEE HEALTH & REHABILITATION CT,320 N MITCHELL ST,KISSIMMEE,FL,34741,,,,
1427126,105390,,6,01/01/2024,12/31/2024,1,BALANCED HEALTHCARE - ST. PETERSBURG,4250 66TH ST N,ST. PETERSBURG,FL,33709,,,,
1427129,105422,,6,01/01/2024,12/31/2024,2,PINELLAS PARK FL OPCO LLC,8701 49TH STREET N,PINELLAS PARK,FL,33782,,,,
1427130,105427,,4,01/01/2024,12/31/2024,1,FORT MYERS REHABILITATION AND NURSIN,7173 CYPRESS DRIVE SOUTHWEST,FORT MYERS,FL,33907,,,,
1427131,105428,,6,01/01/2024,12/31/2024,1,LAKE MARIAM HEALTH AND REHABILITATIO,1801 N LAKE MARIAM DR,WINTER HAVEN,FL,33884,,,,
1427133,105438,,6,11/15/2023,12/31/2024,1,ASPIRE AT RIDGE HAVEN,4927 VOORHEES RD,NEW PORT RICHEY,FL,34653,,,,
1427134,105447,,6,01/01/2024,12/31/2024,1,BEDROCK REHAB & NURSING WEST VOLUSIA,1851 ELKCAM BLVD,DELTONA,FL,32725,,,,
1427136,105455,,6,01/01/2024,12/31/2024,1,LAKE PLACID HEALTH & REHABILITATION,125 TOMOKA BLVD S,LAKE PLACID,FL,33852,,,,
1427137,105465,,6,11/15/2023,12/31/2024,1,ASPIRE AT ARBOR SPRINGS,1501 SE 24TH RD,OCALA,FL,34471,,,,
1427138,105467,,6,01/01/2024,12/31/2024,1,WILLISTON CARE CENTER AND REHAB,300 NW 1ST AVENUE,WILLISTON,FL,32696,,,,
1427139,105471,,6,01/01/2024,12/31/2024,1,BEDROCK REHAB & NRSG CTR AT ORLANDO,9311 S. ORANGE BLOSSOM TRAIL,ORLANDO,FL,32837,,,,
1427140,105473,,4,01/01/2024,12/31/2024,1,RIVER VALLEY REHABILITATION CENTER,17884 NE COZIER STREET,BLOUNTSTOWN,FL,32424,,,,
1427142,105480,,6,12/01/2023,12/31/2023,2,ASPIRE AT ROSEWOOD,3920 ROSEWOOD WAY,ORLANDO,FL,32808,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,06/20/2024
1427143,105482,,4,01/01/2024,12/31/2024,1,BREEZY HILLS REHAB AND CARE CENTER,5245 NORTH SOCRUM LOOP RD,LAKELAND,FL,33809,,,,
1427144,105486,,6,01/01/2024,12/31/2024,2,GATEWAY FL OPCO LLC,8600 US HWY 19 NORTH,PINELLAS PARK,FL,33782,,,,
1427147,105492,,4,01/01/2024,12/31/2024,1,BEACH BREEZE REHAB AND CARE CENTER,1626 DAVIS ROAD,WEST PALM BEACH,FL,33714,,,,
1427148,105494,,6,01/01/2024,12/31/2024,1,ROYAL PALM BEACH HEALTH AND REHABILI,600 BUSINESS PARK WAY,ROYAL PALM BEACH,FL,33411,,,,
1427149,105495,,5,01/01/2024,12/31/2024,1,EMERALD NURSING AND REHAB CENTER,4200 WASHINGTON STREET,HOLLYWOOD,FL,33021,,,,
1427150,105498,,6,01/01/2024,12/31/2024,1,SUSANNA WESLEY HEALTH CENTER,5345 WEST 18TH AVENUE,HIALEAH,FL,33012,,,,
1427153,105515,,2,01/01/2024,12/31/2024,1,SOLARIS HEALTHCARE PLANT CITY,701 NORTH WILDER ROAD,PLANT CITY,FL,33566,ASHLEY PARKER,ASHLEY PARKER,ADMINISTRATOR,05/29/2025
1427154,105519,,4,01/01/2024,12/31/2024,1,NSPIRE HEALTHCARE PLANTATION,6931 W SUNRISE BOULEVARD,PLANTATION,FL,33313,THOMAS GOLDIE,THOMAS GOLDIE,DIRECTOR OF REMIBUSEMENT,05/29/2025
1427155,105522,,4,01/01/2024,12/31/2024,1,LEHIGH ACRES HEALTHCARE & REHAB CENT,1550 LEE BLVD,LEHIGH ACRES,FL,33936,TODD KIMBLE,TODD KIMBLE,ADMINISTRATOR,05/30/2025
1427156,105530,,6,01/01/2024,12/31/2024,1,BEDROCK REHAB & NURS AT VISTA MANOR,1550 JESS PARRISH CT,TITUSVILLE,FL,32796,,,,
1427157,105543,,6,01/01/2024,12/31/2024,1,ST. ANDREWS BAY SKILLED NURSING & RE,2100 JENKS AVE,PANAMA CITY,FL,32405,,,,
1427158,105544,,2,01/01/2024,12/31/2024,1,SOLARIS HEALTHCARE BAYONET POINT,7210 BEACON WOODS DRIVE,HUDSON,FL,34667,AMY SAAYMAN,AMY SAAYMAN,ADMINISTRATOR,05/29/2025
1427159,105552,,5,01/01/2024,12/31/2024,1,SANDY RIDGE CENTER FOR REHAB AND HEA,5360 GLOVER LANE,MILTON,FL,32570,,,,
1427161,105563,,6,01/01/2024,12/31/2024,1,CENTRE POINT HEALTH & REHAB CENTER,2255 CENTERVILLE ROAD,TALLAHASSEE,FL,32308,SCOTT PEABODY,SCOTT PEABODY,VP FINANCE,05/24/2025
1427162,105564,,5,01/01/2024,12/31/2024,1,LOTUS NURSING AND REHAB CENTER,7950 LAKE UNDERHILL ROAD,ORLANDO,FL,32822,,,,
